scope,page_number,metric,cluster_id,position_mean,position_min,position_max,position_range,x0_min,x1_max,token_count,page_count,sample_pages,sample_texts
sample_page,2,x0,1,30.754285714285714,30.0,33.12,3.1199999999999974,30.0,83.36496,7,1,2,*Potongan/pelepasan|*1|*Anak|Saraan|Remuneration
sample_page,2,x0,2,34.63608,34.56,36.3624,1.8023999999999987,34.56,57.16008,30,1,2,3141|3146|3151|3156|3161|3166|3171|3176
sample_page,2,x0,3,41.16084,40.92,42.36,1.4399999999999977,40.92,65.80032,8,1,2,Bulanan|B|KA1|KA2|KA3|KA4|KA5|Jumlah
sample_page,2,x0,4,46.47560000000001,45.354240000000004,48.59088,3.236639999999994,45.354240000000004,61.35792,6,1,2,-|kurang|Total|RM|18
sample_page,2,x0,5,52.87829,51.22560000000001,55.78752,4.5619199999999935,51.22560000000001,74.65115999999999,36,1,2,anak|-|=|Bersih|tahun
sample_page,2,x0,6,55.95984,55.95984,55.95984,0.0,55.95984,59.67408,1,1,2,=
sample_page,2,x0,7,62.32440947368421,59.00448,63.93984000000001,4.93536000000001,59.00448,89.38164000000002,38,1,2,Net|Berkahwin|Bujang|3145|3150|3155|3160|3165
sample_page,2,x0,8,70.1808,70.1808,70.1808,0.0,70.1808,75.75648000000002,1,1,2,ke
sample_page,2,x0,9,77.544672,75.45552,78.444,2.9884799999999956,75.45552,99.46032,5,1,2,anak|atas|Category|=|-18
sample_page,2,x0,10,83.07248,81.384,84.83280000000002,3.44880000000002,81.384,104.27904000000001,3,1,2,"Kategori|RM6,000|untuk:"
sample_page,2,x0,11,89.67541000000001,87.144,90.99708000000003,3.85308000000002,87.144,101.49108000000003,12,1,2,RM|tahun|yang|1|B|dan
sample_page,2,x0,12,93.384,93.384,93.384,0.0,93.384,104.80883999999999,28,1,2,1.00|1.15|1.30|1.45|1.60|1.75|1.90|2.05
sample_page,2,x0,13,102.42091500000002,100.87872000000003,103.10652000000003,2.227800000000002,100.87872000000003,135.45984000000007,8,1,2,masih|ke|mempunyai
sample_page,2,x0,14,107.40701866666667,105.6624,108.78816,3.1257599999999996,105.6624,129.08448,30,1,2,(dianggap|-|atas
