page_number,page_width,page_height,rotation,page_box_signature,is_page_box_or_rotation_outlier,is_sampled,sample_reasons,token_count,x_center_min,x_center_max,y_center_min,y_center_max,extraction_error
52,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
53,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
54,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
55,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
56,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
57,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
58,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
59,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
60,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
61,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
62,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
63,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
64,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
65,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
66,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
67,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
68,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
69,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
70,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
71,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
72,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
73,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
74,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
75,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
76,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
77,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
78,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
79,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
