page_number,template_family,section_code,row_index,center,top_boundary,bottom_boundary,salary_from,salary_to,line_token_count,expected_cell_count,assigned_cell_token_count,line_text
3,normal_ka1_ka10,KA1_KA10,3,177.2472,173.4072,181.0872,3291,3295,26,25,25,3291 - 3295 5.50 - - - - - - - - - - - 5.50 - - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,4,184.9272,181.0872,188.7672,3296,3300,26,25,25,3296 - 3300 5.65 - - - - - - - - - - - 5.65 - - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,5,192.6072,188.7672,196.4472,3301,3305,26,25,25,3301 - 3305 5.80 - - - - - - - - - - - 5.80 - - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,6,200.2872,196.4472,204.1272,3306,3310,26,25,25,3306 - 3310 5.95 - - - - - - - - - - - 5.95 - - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,7,207.9672,204.1272,211.8072,3311,3315,26,25,25,3311 - 3315 6.10 - - - - - - - - - - - 6.10 1.10 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,8,215.6472,211.8072,219.4872,3316,3320,26,25,25,3316 - 3320 6.25 - - - - - - - - - - - 6.25 1.25 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,9,223.3272,219.4872,227.1672,3321,3325,26,25,25,3321 - 3325 6.40 - - - - - - - - - - - 6.40 1.40 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,10,231.0072,227.1672,234.8472,3326,3330,26,25,25,3326 - 3330 6.55 - - - - - - - - - - - 6.55 1.55 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,11,238.6872,234.8472,242.5272,3331,3335,26,25,25,3331 - 3335 6.70 - - - - - - - - - - - 6.70 1.70 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,12,246.3672,242.5272,250.2072,3336,3340,26,25,25,3336 - 3340 6.85 - - - - - - - - - - - 6.85 1.85 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,13,254.0472,250.2072,257.8872,3341,3345,26,25,25,3341 - 3345 7.00 - - - - - - - - - - - 7.00 2.00 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,14,261.7272,257.8872,265.5672,3346,3350,26,25,25,3346 - 3350 7.15 - - - - - - - - - - - 7.15 2.15 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,15,269.4072,265.5672,273.2572,3351,3355,26,25,25,3351 - 3355 7.30 - - - - - - - - - - - 7.30 2.30 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,16,277.1072,273.2572,280.9472,3356,3360,26,25,25,3356 - 3360 7.45 - - - - - - - - - - - 7.45 2.45 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,17,284.7872,280.9472,288.6272,3361,3365,26,25,25,3361 - 3365 7.60 - - - - - - - - - - - 7.60 2.60 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,18,292.4672,288.6272,296.3072,3366,3370,26,25,25,3366 - 3370 7.75 - - - - - - - - - - - 7.75 2.75 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,19,300.1472,296.3072,303.9872,3371,3375,26,25,25,3371 - 3375 7.90 - - - - - - - - - - - 7.90 2.90 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,20,307.8272,303.9872,311.6672,3376,3380,26,25,25,3376 - 3380 8.05 - - - - - - - - - - - 8.05 3.05 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,21,315.5072,311.6672,319.3472,3381,3385,26,25,25,3381 - 3385 8.20 - - - - - - - - - - - 8.20 3.20 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,22,323.1872,319.3472,327.0272,3386,3390,26,25,25,3386 - 3390 8.35 - - - - - - - - - - - 8.35 3.35 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,23,330.8672,327.0272,334.7072,3391,3395,26,25,25,3391 - 3395 8.50 - - - - - - - - - - - 8.50 3.50 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,24,338.5472,334.7072,342.3872,3396,3400,26,25,25,3396 - 3400 8.65 - - - - - - - - - - - 8.65 3.65 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,25,346.2272,342.3872,350.0672,3401,3405,26,25,25,3401 - 3405 8.80 - - - - - - - - - - - 8.80 3.80 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,26,353.9072,350.0672,357.7472,3406,3410,26,25,25,3406 - 3410 8.95 - - - - - - - - - - - 8.95 3.95 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,27,361.5872,357.7472,365.4272,3411,3415,26,25,25,3411 - 3415 9.10 - - - - - - - - - - - 9.10 4.10 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,28,369.2672,365.4272,373.1072,3416,3420,26,25,25,3416 - 3420 9.25 - - - - - - - - - - - 9.25 4.25 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,29,376.9472,373.1072,380.7872,3421,3425,26,25,25,3421 - 3425 9.40 - - - - - - - - - - - 9.40 4.40 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,30,384.6272,380.7872,388.4822,3426,3430,26,25,25,3426 - 3430 9.55 - - - - - - - - - - - 9.55 4.55 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,31,392.3372,388.4822,396.1772,3431,3435,26,25,25,3431 - 3435 9.70 - - - - - - - - - - - 9.70 4.70 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,32,400.0172,396.1772,403.8572,3436,3440,26,25,25,3436 - 3440 9.85 - - - - - - - - - - - 9.85 4.85 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,33,407.6972,403.8572,411.5372,3441,3445,26,25,25,3441 - 3445 10.00 - - - - - - - - - - - 10.00 5.00 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,34,415.3772,411.5372,419.2172,3446,3450,26,25,25,3446 - 3450 10.15 - - - - - - - - - - - 10.15 5.15 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,35,423.0572,419.2172,426.8972,3451,3455,26,25,25,3451 - 3455 10.30 - - - - - - - - - - - 10.30 5.30 - - - - - - - - -
