source_page,template_family,section_code,parsed_grid_rows,canonical_records,populated_records,observed_dash_records,provenance_path
53,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
54,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
55,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
56,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
57,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
58,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
59,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
60,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
61,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
62,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
63,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
64,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
65,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
66,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
67,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
68,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
69,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
70,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
71,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
72,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
73,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
74,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
75,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
76,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
77,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
78,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
79,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
80,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
81,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
82,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
83,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
84,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
